,CountryName,RegionName,Date,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,GeoID
4860,Aruba,,2020-08-01,0.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Aruba__
4861,Afghanistan,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Afghanistan__
4862,Angola,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,Angola__
4863,Anguilla,,2020-08-01,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,2.0,3.0,Anguilla__
4864,Albania,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Albania__
4865,Andorra,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Andorra__
4866,United Arab Emirates,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,United Arab Emirates__
4867,Argentina,,2020-08-01,0.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Argentina__
4868,Australia,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Australia__
4869,Austria,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Austria__
4870,Azerbaijan,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Azerbaijan__
4871,Burundi,,2020-08-01,0.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,Burundi__
4872,Belgium,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Belgium__
4873,Benin,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,Benin__
4874,Burkina Faso,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Burkina Faso__
4875,Bangladesh,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Bangladesh__
4876,Bulgaria,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Bulgaria__
4877,Bahrain,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Bahrain__
4878,Bosnia and Herzegovina,,2020-08-01,0.0,3.0,1.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,Bosnia and Herzegovina__
4879,Belarus,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Belarus__
4880,Belize,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,Belize__
4881,Bermuda,,2020-08-01,0.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Bermuda__
4882,Bolivia,,2020-08-01,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Bolivia__
4883,Brazil,,2020-08-01,0.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Brazil__
4884,Barbados,,2020-08-01,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Barbados__
4885,Brunei,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,Brunei__
4886,Bhutan,,2020-08-01,0.0,0.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Bhutan__
4887,Botswana,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,Botswana__
4888,Central African Republic,,2020-08-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,Central African Republic__
4889,Canada,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Canada__
4890,Switzerland,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Switzerland__
4891,Chile,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Chile__
4892,China,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,China__
4893,Cote d'Ivoire,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Cote d'Ivoire__
4894,Cameroon,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,Cameroon__
4895,Democratic Republic of Congo,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Democratic Republic of Congo__
4896,Congo,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,Congo__
4897,Colombia,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Colombia__
4898,Comoros,,2020-08-01,0.0,3.0,0.0,4.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,Comoros__
4899,Cape Verde,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Cape Verde__
4900,Costa Rica,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Costa Rica__
4901,Cuba,,2020-08-01,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,4.0,Cuba__
4902,Cayman Islands,,2020-08-01,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,Cayman Islands__
4903,Cyprus,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,Cyprus__
4904,Czech Republic,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,3.0,Czech Republic__
4905,Germany,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Germany__
4906,Djibouti,,2020-08-01,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Djibouti__
4907,Dominica,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Dominica__
4908,Denmark,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,3.0,Denmark__
4909,Dominican Republic,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Dominican Republic__
4910,Algeria,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Algeria__
4911,Ecuador,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Ecuador__
4912,Egypt,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Egypt__
4913,Eritrea,,2020-08-01,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Eritrea__
4914,Spain,,2020-08-01,0.0,3.0,2.0,0.0,2.0,2.0,2.0,4.0,0.0,3.0,2.0,0.0,Spain__
4915,Estonia,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Estonia__
4916,Ethiopia,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Ethiopia__
4917,Finland,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Finland__
4918,Fiji,,2020-08-01,0.0,3.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,2.0,0.0,Fiji__
4919,Falkland Islands,,2020-08-01,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,0.0,2.0,0.0,Falkland Islands__
4920,France,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,France__
4921,Gabon,,2020-08-01,0.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Gabon__
4922,United Kingdom,,2020-08-01,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,United Kingdom__
4923,United Kingdom,England,2020-08-01,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,United Kingdom__England
4924,United Kingdom,Northern Ireland,2020-08-01,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,United Kingdom__Northern Ireland
4925,United Kingdom,Scotland,2020-08-01,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,United Kingdom__Scotland
4926,United Kingdom,Wales,2020-08-01,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,1.0,United Kingdom__Wales
4927,Georgia,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Georgia__
4928,Ghana,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Ghana__
4929,Gibraltar,,2020-08-01,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Gibraltar__
4930,Guinea,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Guinea__
4931,Gambia,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,Gambia__
4932,Greece,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Greece__
4933,Greenland,,2020-08-01,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Greenland__
4934,Guatemala,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,Guatemala__
4935,Guam,,2020-08-01,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Guam__
4936,Guyana,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,Guyana__
4937,Hong Kong,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Hong Kong__
4938,Honduras,,2020-08-01,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Honduras__
4939,Croatia,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Croatia__
4940,Haiti,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,0.0,4.0,Haiti__
4941,Hungary,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Hungary__
4942,Indonesia,,2020-08-01,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Indonesia__
4943,India,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,India__
4944,Ireland,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Ireland__
4945,Iran,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Iran__
4946,Iraq,,2020-08-01,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,Iraq__
4947,Iceland,,2020-08-01,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Iceland__
4948,Israel,,2020-08-01,0.0,3.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Israel__
4949,Italy,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,3.0,2.0,4.0,Italy__
4950,Jamaica,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,Jamaica__
4951,Jordan,,2020-08-01,0.0,3.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Jordan__
4952,Japan,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Japan__
4953,Kazakhstan,,2020-08-01,0.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,Kazakhstan__
4954,Kenya,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,3.0,2.0,0.0,Kenya__
4955,Kyrgyz Republic,,2020-08-01,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Kyrgyz Republic__
4956,Cambodia,,2020-08-01,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,0.0,4.0,Cambodia__
4957,South Korea,,2020-08-01,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,South Korea__
4958,Kuwait,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Kuwait__
4959,Laos,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Laos__
4960,Lebanon,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Lebanon__
4961,Liberia,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,Liberia__
4962,Libya,,2020-08-01,0.0,3.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,4.0,Libya__
4963,Sri Lanka,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,3.0,2.0,0.0,Sri Lanka__
4964,Lesotho,,2020-08-01,0.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,3.0,2.0,4.0,Lesotho__
4965,Lithuania,,2020-08-01,0.0,0.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Lithuania__
4966,Luxembourg,,2020-08-01,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,Luxembourg__
4967,Latvia,,2020-08-01,0.0,0.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,4.0,Latvia__
4968,Macao,,2020-08-01,0.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,3.0,Macao__
4969,Morocco,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,Morocco__
4970,Moldova,,2020-08-01,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Moldova__
4971,Madagascar,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,Madagascar__
4972,Mexico,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Mexico__
4973,Mali,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,0.0,Mali__
4974,Myanmar,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,Myanmar__
4975,Mongolia,,2020-08-01,0.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,Mongolia__
4976,Mozambique,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,Mozambique__
4977,Mauritania,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,Mauritania__
4978,Montserrat,,2020-08-01,0.0,0.0,2.0,0.0,1.0,3.0,2.0,4.0,0.0,3.0,2.0,4.0,Montserrat__
4979,Mauritius,,2020-08-01,0.0,3.0,0.0,0.0,0.0,3.0,2.0,4.0,0.0,3.0,2.0,0.0,Mauritius__
4980,Malawi,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,3.0,2.0,4.0,Malawi__
4981,Malaysia,,2020-08-01,0.0,3.0,0.0,0.0,2.0,3.0,0.0,4.0,0.0,3.0,2.0,0.0,Malaysia__
4982,Namibia,,2020-08-01,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,Namibia__
